source_name,extracted_at,location_id,city_name,country_code,date,latitude,longitude,timezone,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max
forecast,2026-06-08T19:40:40+00:00,900010,Teruel,ES,2026-06-10,40.3456,-1.1065,Europe/Madrid,25.2,12.8,18.5,0.0,0.0,0.0,15.7
forecast,2026-06-08T19:40:40+00:00,900010,Teruel,ES,2026-06-11,40.3456,-1.1065,Europe/Madrid,27.8,12.3,19.5,0.0,0.0,0.0,15.8
forecast,2026-06-08T19:40:40+00:00,900010,Teruel,ES,2026-06-12,40.3456,-1.1065,Europe/Madrid,28.3,11.3,19.9,0.0,0.0,0.0,15.8
forecast,2026-06-08T19:40:40+00:00,900010,Teruel,ES,2026-06-13,40.3456,-1.1065,Europe/Madrid,30.9,13.0,22.3,0.0,0.0,0.0,9.7
forecast,2026-06-08T19:40:40+00:00,900010,Teruel,ES,2026-06-14,40.3456,-1.1065,Europe/Madrid,31.0,14.3,22.2,0.0,0.0,0.0,24.2
forecast,2026-06-08T19:40:40+00:00,900011,Zaragoza,ES,2026-06-08,41.6488,-0.8891,Europe/Madrid,34.4,19.0,25.5,0.1,0.0,0.0,27.6
forecast,2026-06-08T19:40:40+00:00,900011,Zaragoza,ES,2026-06-09,41.6488,-0.8891,Europe/Madrid,25.9,17.1,21.0,0.0,0.0,0.0,26.4
forecast,2026-06-08T19:40:40+00:00,900011,Zaragoza,ES,2026-06-10,41.6488,-0.8891,Europe/Madrid,24.7,13.5,18.7,0.0,0.0,0.0,25.7
forecast,2026-06-08T19:40:40+00:00,900011,Zaragoza,ES,2026-06-11,41.6488,-0.8891,Europe/Madrid,27.2,13.6,19.7,0.0,0.0,0.0,25.3
forecast,2026-06-08T19:40:40+00:00,900011,Zaragoza,ES,2026-06-12,41.6488,-0.8891,Europe/Madrid,32.1,15.6,23.1,0.0,0.0,0.0,17.5
forecast,2026-06-08T19:40:40+00:00,900011,Zaragoza,ES,2026-06-13,41.6488,-0.8891,Europe/Madrid,35.1,19.9,26.9,0.0,0.0,0.0,11.6
forecast,2026-06-08T19:40:40+00:00,900011,Zaragoza,ES,2026-06-14,41.6488,-0.8891,Europe/Madrid,33.9,19.0,26.3,0.0,0.0,0.0,18.8
forecast,2026-06-08T19:40:40+00:00,900012,Oviedo,ES,2026-06-08,43.3614,-5.8593,Europe/Madrid,22.2,15.0,17.8,0.0,0.0,0.0,14.0
forecast,2026-06-08T19:40:40+00:00,900012,Oviedo,ES,2026-06-09,43.3614,-5.8593,Europe/Madrid,18.4,14.0,15.5,0.0,0.0,0.0,15.2
forecast,2026-06-08T19:40:40+00:00,900012,Oviedo,ES,2026-06-10,43.3614,-5.8593,Europe/Madrid,19.1,11.0,15.3,0.0,0.1,0.0,14.3
forecast,2026-06-08T19:40:40+00:00,900012,Oviedo,ES,2026-06-11,43.3614,-5.8593,Europe/Madrid,24.0,10.9,17.3,0.0,0.0,0.0,17.8
forecast,2026-06-08T19:40:40+00:00,900012,Oviedo,ES,2026-06-12,43.3614,-5.8593,Europe/Madrid,27.9,12.0,18.9,0.0,0.0,0.0,16.0
forecast,2026-06-08T19:40:40+00:00,900012,Oviedo,ES,2026-06-13,43.3614,-5.8593,Europe/Madrid,29.6,13.1,21.2,0.0,0.0,0.0,7.0
forecast,2026-06-08T19:40:40+00:00,900012,Oviedo,ES,2026-06-14,43.3614,-5.8593,Europe/Madrid,29.6,15.0,22.4,0.0,0.0,0.0,7.2
forecast,2026-06-08T19:40:40+00:00,900013,Palma,ES,2026-06-08,39.5696,2.6502,Europe/Madrid,26.4,19.5,23.1,0.0,0.0,0.0,10.2
forecast,2026-06-08T19:40:40+00:00,900013,Palma,ES,2026-06-09,39.5696,2.6502,Europe/Madrid,26.2,20.5,23.3,0.0,0.0,0.0,22.9
forecast,2026-06-08T19:40:40+00:00,900013,Palma,ES,2026-06-10,39.5696,2.6502,Europe/Madrid,25.4,19.2,22.0,0.0,0.0,0.0,22.4
forecast,2026-06-08T19:40:40+00:00,900013,Palma,ES,2026-06-11,39.5696,2.6502,Europe/Madrid,25.1,18.9,21.7,0.0,0.0,0.0,17.3
forecast,2026-06-08T19:40:40+00:00,900013,Palma,ES,2026-06-12,39.5696,2.6502,Europe/Madrid,27.2,18.3,22.5,0.0,0.0,0.0,13.4
forecast,2026-06-08T19:40:40+00:00,900013,Palma,ES,2026-06-13,39.5696,2.6502,Europe/Madrid,28.8,19.2,23.7,0.0,0.0,0.0,16.1
forecast,2026-06-08T19:40:40+00:00,900013,Palma,ES,2026-06-14,39.5696,2.6502,Europe/Madrid,29.6,19.5,24.1,0.0,0.0,0.0,13.2
forecast,2026-06-08T19:40:40+00:00,900014,Las Palmas de Gran Canaria,ES,2026-06-08,28.1235,-15.4366,Atlantic/Canary,22.0,18.5,20.1,0.1,0.1,0.0,20.1
forecast,2026-06-08T19:40:40+00:00,900014,Las Palmas de Gran Canaria,ES,2026-06-09,28.1235,-15.4366,Atlantic/Canary,22.6,18.4,20.1,0.3,0.3,0.0,19.1
forecast,2026-06-08T19:40:40+00:00,900014,Las Palmas de Gran Canaria,ES,2026-06-10,28.1235,-15.4366,Atlantic/Canary,21.7,18.0,19.7,1.0,1.0,0.0,17.5
forecast,2026-06-08T19:40:40+00:00,900014,Las Palmas de Gran Canaria,ES,2026-06-11,28.1235,-15.4366,Atlantic/Canary,23.0,17.8,20.0,0.0,0.0,0.0,14.4
forecast,2026-06-08T19:40:40+00:00,900014,Las Palmas de Gran Canaria,ES,2026-06-12,28.1235,-15.4366,Atlantic/Canary,24.1,17.8,20.9,0.0,0.0,0.0,14.8
forecast,2026-06-08T19:40:40+00:00,900014,Las Palmas de Gran Canaria,ES,2026-06-13,28.1235,-15.4366,Atlantic/Canary,23.3,18.9,21.0,0.0,0.0,0.0,19.7
forecast,2026-06-08T19:40:40+00:00,900014,Las Palmas de Gran Canaria,ES,2026-06-14,28.1235,-15.4366,Atlantic/Canary,22.6,18.6,20.4,0.0,0.0,0.0,19.4
forecast,2026-06-08T19:40:40+00:00,900015,Santa Cruz de Tenerife,ES,2026-06-08,28.4636,-16.2518,Atlantic/Canary,21.8,18.4,19.9,1.6,1.1,0.0,19.6
forecast,2026-06-08T19:40:40+00:00,900015,Santa Cruz de Tenerife,ES,2026-06-09,28.4636,-16.2518,Atlantic/Canary,22.8,18.0,20.1,1.5,0.1,0.0,20.6
